variable_id,block,item_text,response_type,scale,value_labels,missing_codes,reverse_keyed,index_membership,notes
GAP-PAY-S,D_gap,[Pay fairness] SATISFACTION: My total pay reflects my skills and what I contribute.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_PAY;COV_PAY;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-REC-I,D_gap,[Recognition] IMPORTANCE: Good work here gets noticed and acknowledged.,single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_REC;IMP_MED,No N/A option offered on importance
GAP-REC-S,D_gap,[Recognition] SATISFACTION: Good work here gets noticed and acknowledged.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_REC;COV_REC;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-MGR-I,D_gap,[Manager relationship] IMPORTANCE: I can work with my direct manager openly and without friction.,single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_MGR;IMP_MED,No N/A option offered on importance
GAP-MGR-S,D_gap,[Manager relationship] SATISFACTION: I can work with my direct manager openly and without friction.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_MGR;COV_MGR;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-GRW-I,D_gap,[Career growth] IMPORTANCE: There is a realistic path to grow my career here.,single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_GRW;IMP_MED,No N/A option offered on importance
GAP-GRW-S,D_gap,[Career growth] SATISFACTION: There is a realistic path to grow my career here.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_GRW;COV_GRW;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-LRN-I,D_gap,"[Learning & development] IMPORTANCE: I can build new professional skills through my work, including formal training and development programs.",single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_LRN;IMP_MED,No N/A option offered on importance
GAP-LRN-S,D_gap,"[Learning & development] SATISFACTION: I can build new professional skills through my work, including formal training and development programs.",single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_LRN;COV_LRN;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-FLX-I,D_gap,"[Schedule fit] IMPORTANCE: My work schedule fits my life - hours, predictability, and the flexibility available to me.",single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_FLX;IMP_MED,No N/A option offered on importance
GAP-FLX-S,D_gap,"[Schedule fit] SATISFACTION: My work schedule fits my life - hours, predictability, and the flexibility available to me.",single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_FLX;COV_FLX;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-WKL-I,D_gap,[Sustainable workload] IMPORTANCE: My workload is one I can sustain long-term without burning out.,single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_WKL;IMP_MED,No N/A option offered on importance
GAP-WKL-S,D_gap,[Sustainable workload] SATISFACTION: My workload is one I can sustain long-term without burning out.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_WKL;COV_WKL;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-BEN-I,D_gap,"[Benefits & social support] IMPORTANCE: The benefits package (health, retirement, family support) works for my real life.",single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_BEN;IMP_MED,No N/A option offered on importance
GAP-BEN-S,D_gap,"[Benefits & social support] SATISFACTION: The benefits package (health, retirement, family support) works for my real life.",single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_BEN;COV_BEN;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-MNG-I,D_gap,[Meaningful work] IMPORTANCE: My work contributes to something I consider worthwhile.,single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_MNG;IMP_MED,No N/A option offered on importance
GAP-MNG-S,D_gap,[Meaningful work] SATISFACTION: My work contributes to something I consider worthwhile.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_MNG;COV_MNG;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-AUT-I,D_gap,[Autonomy] IMPORTANCE: I can decide how to do my own work.,single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_AUT;IMP_MED,No N/A option offered on importance
GAP-AUT-S,D_gap,[Autonomy] SATISFACTION: I can decide how to do my own work.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_AUT;COV_AUT;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-TEA-I,D_gap,[Team relationships] IMPORTANCE: I work with people I trust and enjoy working with.,single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_TEA;IMP_MED,No N/A option offered on importance
GAP-TEA-S,D_gap,[Team relationships] SATISFACTION: I work with people I trust and enjoy working with.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_TEA;COV_TEA;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-SEC-I,D_gap,[Job security] IMPORTANCE: I am confident in this organization's stability and future.,single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_SEC;IMP_MED,No N/A option offered on importance
GAP-SEC-S,D_gap,[Job security] SATISFACTION: I am confident in this organization's stability and future.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_SEC;COV_SEC;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-RES-I,D_gap,"[Tools & resources] IMPORTANCE: I have the tools, equipment, and resources I need to get my work done.",single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_RES;IMP_MED,No N/A option offered on importance
GAP-RES-S,D_gap,"[Tools & resources] SATISFACTION: I have the tools, equipment, and resources I need to get my work done.",single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_RES;COV_RES;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-VOI-I,D_gap,"[Voice & participation] IMPORTANCE: My ideas can actually influence decisions in my area, and leaders are willing to hear them.",single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_VOI;IMP_MED,No N/A option offered on importance
GAP-VOI-S,D_gap,"[Voice & participation] SATISFACTION: My ideas can actually influence decisions in my area, and leaders are willing to hear them.",single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_VOI;COV_VOI;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-CRS-I,D_gap,[Support in difficult situations] IMPORTANCE: If I run into a difficult situation - at work or in life - this organization will help me through it.,single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_CRS;IMP_MED,No N/A option offered on importance
GAP-CRS-S,D_gap,[Support in difficult situations] SATISFACTION: If I run into a difficult situation - at work or in life - this organization will help me through it.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_CRS;COV_CRS;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-SAF-I,D_gap,[Workplace safety] IMPORTANCE: I feel safe and protected while doing my job.,single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_SAF;IMP_MED,No N/A option offered on importance
GAP-SAF-S,D_gap,[Workplace safety] SATISFACTION: I feel safe and protected while doing my job.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_SAF;COV_SAF;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-COM-I,D_gap,[Communication & information] IMPORTANCE: I get the information I need about what is happening in the organization and how it affects me.,single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_COM;IMP_MED,No N/A option offered on importance
GAP-COM-S,D_gap,[Communication & information] SATISFACTION: I get the information I need about what is happening in the organization and how it affects me.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_COM;COV_COM;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP-FDK-I,D_gap,[Feedback] IMPORTANCE: I know how my work is evaluated and what I can do to improve.,single,IMP-7,1=Not at all important;2=Slightly important;3=Somewhat important;4=Moderately important;5=Important;6=Very important;7=Extremely important,blank=skipped,no,GAP_FDK;IMP_MED,No N/A option offered on importance
GAP-FDK-S,D_gap,[Feedback] SATISFACTION: I know how my work is evaluated and what I can do to improve.,single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped;99=not applicable,no,GAP_FDK;COV_FDK;SAT_MED;driver_predictor,"99 excluded from means, reported as coverage %; NEVER recoded to midpoint"
GAP_ORDER,D_gap,Realized randomized display order of the 18 categories,paradata,,,blank=skipped,no,,Comma-separated codes; required to test order effects between waves
BRN-01,E_brn,"By the end of a typical workday, I have little energy left for anything else.",single,AGREE-5,1=Strongly disagree;2=Disagree;3=Neither agree nor disagree;4=Agree;5=Strongly agree,blank=skipped,no,IDX_BRN;BRN_TIER,"Aggregate reporting only, N>=5"
BRN-02,E_brn,"Evenings, weekends, and vacations are enough for me to recover from work.",single,AGREE-5,1=Strongly disagree;2=Disagree;3=Neither agree nor disagree;4=Agree;5=Strongly agree,blank=skipped,yes,IDX_BRN;BRN_TIER,Reversal applied at scoring only (x_r = 6 - x); scale never flipped on screen
BRN-03,E_brn,I find it harder to get interested in my work than I used to.,single,AGREE-5,1=Strongly disagree;2=Disagree;3=Neither agree nor disagree;4=Agree;5=Strongly agree,blank=skipped,no,IDX_BRN;BRN_TIER,"Aggregate reporting only, N>=5"
BRN-04,E_brn,My current workload is sustainable for the long term.,single,AGREE-5,1=Strongly disagree;2=Disagree;3=Neither agree nor disagree;4=Agree;5=Strongly agree,blank=skipped,yes,IDX_BRN;BRN_TIER,Reversal applied at scoring only (x_r = 6 - x); scale never flipped on screen
BRN-05,E_brn,I feel increasingly detached from what happens in this organization.,single,AGREE-5,1=Strongly disagree;2=Disagree;3=Neither agree nor disagree;4=Agree;5=Strongly agree,blank=skipped,no,IDX_BRN;BRN_TIER,"Aggregate reporting only, N>=5"
BRN-06,E_brn,"In the past month, work stress has affected my sleep or health.",single,AGREE-5,1=Strongly disagree;2=Disagree;3=Neither agree nor disagree;4=Agree;5=Strongly agree,blank=skipped,no,IDX_BRN;BRN_TIER,"Aggregate reporting only, N>=5"
STY-01,F_stay,I expect to still be working at this organization twelve months from now.,single,AGREE-5,1=Strongly disagree;2=Disagree;3=Neither agree nor disagree;4=Agree;5=Strongly agree,blank=skipped,no,criterion_primary;STAY_TYPE,"Primary criterion (headline driver model); top-2-box {4,5} = expects to stay for STAY_TYPE"
STY-02,F_stay,"In the past six months, I have seriously considered leaving.",single,AGREE-5,1=Strongly disagree;2=Disagree;3=Neither agree nor disagree;4=Agree;5=Strongly agree,blank=skipped,no,criterion_divergence;STAY_TYPE,"Criterion of the divergence model (reported as contrast exhibit and prose only, never a second ranked list); top-2-box {4,5} = considered leaving for STAY_TYPE; not summed with STY-01"
STY-03,F_stay,Which best describes your current plans?,single,categorical,1=Planning to stay;2=Open to outside offers;3=Actively looking;98=Prefer not to say,blank=skipped;98=prefer not to say,no,,Only item with an explicit refusal option; refusal rate reported
OPN-01,G_open,What is the single most important thing this organization could change to make it a better place to work?,open_text,,,blank=skipped,no,,Dual-coder thematic coding with adjudication
OPN-02,G_open,What should this organization be careful NOT to change?,open_text,,,blank=skipped,no,,Source of 'keep' themes
OPN-03,G_open,(need-specific slot; omitted in standard census),open_text,,,.n=not fielded,no,,Activated per engagement
SEG-TEN,H_segmentation,How long have you worked at [Organization]?,single,categorical,1=Less than 1 year;2=1-2 years;3=3-6 years;4=7 years or more,blank=skipped,no,weighting_cell,Non-overlapping by construction (owner decision 2026-07-19); HRIS extract must be re-banded to match
SEG-FUN,H_segmentation,Which best describes your area?,single,categorical,client-specific; mirrors HRIS department list;98=Prefer not to say,blank=skipped;98=prefer not to say,no,weighting_cell,Must match HRIS exactly or weighting cannot be executed as specified
SEG-ROL,H_segmentation,Which best describes your role level?,single,categorical,1=Individual contributor;2=Team lead/supervisor;3=Manager;4=Senior leadership;98=Prefer not to say,blank=skipped;98=prefer not to say,no,weighting_cell,
SEG-SIT,H_segmentation,Which site do you work at most of the time?,single,categorical,client-specific;98=Prefer not to say,blank=skipped;98=prefer not to say,no,,
SEG-AGE,H_segmentation,Which age group are you in?,single,categorical,1=Under 25;2=25-34;3=35-44;4=45-54;5=55 or older;98=Prefer not to say,blank=skipped;98=prefer not to say,no,,
SEG-CAR,H_segmentation,Do you regularly care for children or another dependent?,single,categorical,1=Yes;2=No;98=Prefer not to say,.n=not fielded,no,,Optional per engagement
SEG-EDU,H_segmentation,What is the highest level of education you have completed?,single,categorical,client-specific;98=Prefer not to say,.n=not fielded,no,,Optional per engagement
AC-01,quality,"Attention check (GAP screen 2, satisfaction column)",single,SAT-7,1=Very dissatisfied;2=Dissatisfied;3=Somewhat dissatisfied;4=Neither satisfied nor dissatisfied;5=Somewhat satisfied;6=Satisfied;7=Very satisfied;99=Not applicable (off-scale),blank=skipped,no,,Pass = 'Satisfied' (6). One failure flags; two exclude
AC-02,quality,"Attention check (BRN matrix, row 4)",single,AGREE-5,1=Strongly disagree;2=Disagree;3=Neither agree nor disagree;4=Agree;5=Strongly agree,blank=skipped,no,,Pass = 'Agree' (4). One failure flags; two exclude
T_TOTAL,paradata,Total completion time,numeric,seconds,,blank=skipped,no,,Speeder screen: < 1/3 of sample median flags
T_BLOCK_*,paradata,Page-level time per screen,numeric,seconds,,blank=skipped,no,,Sustained < 2 s per item excludes
DEVICE,paradata,Device type,single,categorical,1=desktop;2=mobile;3=tablet;4=kiosk,blank=skipped,no,,Kiosk duplicates expected by design; never used for identification
SOURCE,paradata,Invitation channel,single,categorical,1=link;2=QR;3=kiosk,blank=skipped,no,,
IDX_ENG,derived,"Engagement index, 0-100",derived,,(mean(ENG-01..06) - 1) / 4 * 100,,no,,Computed if >=4 of 6 answered; headline engagement metric and wave-over-wave trend variable; NOT a model predictor (see IDX_ENG_DRIVER)
IDX_ENG_DRIVER,derived,"Engagement index for driver models only, 0-100",derived,,"(mean(ENG-01, ENG-02, ENG-03, ENG-04, ENG-06) - 1) / 4 * 100",,no,driver_predictor,"Computed if >=4 of 5 answered; NEVER reported as a number - exists only inside driver models (owner decision 2026-07-22, D3: ENG-05 excluded for criterion adjacency to STY-01)"
IDX_BRN,derived,"Burnout index, 6-30",derived,,"mean(BRN-01, BRN-02r, BRN-03, BRN-04r, BRN-05, BRN-06 | valid) * 6",,no,driver_predictor,"Prorated (owner decision 2026-07-22, D1): computed if >=5 of 6 answered; range 6-30 for all valid cases; rounded to one decimal BEFORE tier assignment"
BRN_TIER,derived,Burnout risk tier,derived,,6-13=Low;14-21=Moderate;22-30=Elevated,,no,,"Pre-set cutpoints, not sample terciles; disclosed"
NPS_CLASS,derived,Promoter class,derived,,0-6=Detractor;7-8=Passive;9-10=Promoter,,no,,
ENPS,derived,"Employee Net Promoter Score, pp",derived,,%Promoters - %Detractors,,no,,Mean of NPS-01 is a secondary statistic only
STAY_TYPE,derived,"Stay/leave typology (2x2, top-2-box, pre-registered)",derived,,"1=Settled (STY-01 in {4,5} and STY-02 in {1,2,3});2=Reluctant stayer (STY-01 in {4,5} and STY-02 in {4,5});3=Uncertain (STY-01 in {1,2,3} and STY-02 in {1,2,3});4=Leaving (STY-01 in {1,2,3} and STY-02 in {4,5})",missing STY-01 or STY-02 = excluded; excluded share reported,no,,Owner decision 2026-07-22 (D7). Dichotomization fixed across waves; midpoint (3) share reported separately for BOTH items; cells weighted; N<5 suppression and complement check apply
GAP_<CODE>,derived,Gap score per category,derived,,mean(GAP-<CODE>-I) - mean(GAP-<CODE>-S),,no,,Satisfaction mean excludes 99
COV_<CODE>,derived,Coverage per category,derived,,% answering 99 on GAP-<CODE>-S,,no,,Reported with every satisfaction mean
IMP_MED,derived,Within-survey median importance,derived,,median of the 18 importance means,,no,,Defines GAP quadrant boundary; recomputed each wave
SAT_MED,derived,Within-survey median satisfaction,derived,,median of the 18 satisfaction means,,no,,Defines GAP quadrant boundary; recomputed each wave
WT,derived,Payroll weight,derived,,rim weighting on department x tenure x role,,no,,Trimmed 0.4-2.5; design effect reported
DM_HEADLINE,spec_driver_models,Headline driver model,spec,,criterion=STY-01;role=primary_ranking,,no,,The only model rendered as a ranked priority list (Shapley shares of R2)
DM_DIVERGENCE,spec_driver_models,Divergence driver model,spec,,criterion=STY-02;role=contrast_exhibit_prose_only,,no,,"Reported as a divergence exhibit and in prose - NEVER as a second ranked list (owner decision 2026-07-22, D8)"
DM_VALIDATION,spec_driver_models,Validation driver model,spec,,criterion=SAT-00;role=robustness_check,,no,,Robustness check only; never promoted to a standalone ranking (part-whole relationship with GAP-*-S)
PREDICTORS,spec_predictors,Canonical predictor set shared by all driver models,spec,,GAP-PAY-S;GAP-REC-S;GAP-MGR-S;GAP-GRW-S;GAP-LRN-S;GAP-FLX-S;GAP-WKL-S;GAP-BEN-S;GAP-MNG-S;GAP-AUT-S;GAP-TEA-S;GAP-SEC-S;GAP-RES-S;GAP-VOI-S;GAP-CRS-S;GAP-SAF-S;GAP-COM-S;GAP-FDK-S;IDX_ENG_DRIVER;IDX_BRN,,no,,"n_predictors = length of this list, computed at render time (currently 20); never hard-coded. Identical across engagements; CUS-* items never enter"
